Approximate windows care set,,,,reference(Su TCAD),
circuit,#simulation,area,error,area,error upper bound
c880,64,477,0.743945000,504,0.05
,128,404,0.839746000,,
,192,537,0.480078000,,
,256,519,0.470801000,,
,257,545,0.002343750,554,0.003
,320,545,0.002343750,,
,384,550,0.002148440,,
,448,559,0.000292969,569,0.001
,512,546,0.003515620,,
,576,559,0.000292969,,
,640,559,0.000292969,,
,704,573,0.002148440,,
,768,577,0.000292969,,
,832,581,0.000195313,,
,896,576,0.000097656,,
,960,559,0.000292969,,
,1024,580,0.00195312,,
,10240,591,0,599.00,0
